Cidade,Nome,Estado (Lista),País,Estado,Município IBGE,Percentual de ISS,Distrito
,,,,,,,
4101150,?ngulo,PR,1,PR,,0,
3100104,Abadia dos Dourados,MG,1,MG,,0,
5200100,Abadiania,GO,1,GO,,0,
3100203,Abaete,MG,1,MG,,0,
1500107,Abaetetuba,PA,1,PA,,0,
2300101,Abaiara,CE,1,CE,,0,
2900108,Abaira,BA,1,BA,,0,
2900207,Abare,BA,1,BA,,0,
4100103,Abatia,PR,1,PR,,0,
4200051,Abdon Batista,SC,1,SC,,0,
1500131,Abel Figueiredo,PA,1,PA,,0,
4200101,Abelardo Luz,SC,1,SC,,0,
3100302,Abre Campo,MG,1,MG,,0,
2600054,Abreu e Lima,PE,1,PE,,0,
1700251,Abreulandia,TO,1,TO,,0,
3100401,Acaiaca,MG,1,MG,,0,
2100055,Acailandia,MA,1,MA,,0,
2900306,Acajutiba,BA,1,BA,,0,
1500206,Acara,PA,1,PA,,0,
2300150,Acarape,CE,1,CE,,0,
2300200,Acarau,CE,1,CE,,0,
2400109,Acari,RN,1,RN,,0,
2300309,Acopiara,CE,1,CE,,0,
5100102,Acorizal,MT,1,MT,,0,
1200013,Acrelandia,AC,1,AC,,0,
5200134,Acreuna,GO,1,GO,,0,
2400208,Acu,RN,1,RN,,0,
3100500,Acucena,MG,1,MG,,0,
3500105,Adamantina,SP,1,SP,,0,
5200159,Adelandia,GO,1,GO,,0,
3500204,Adolfo,SP,1,SP,,0,
4100202,Adrianopolis,PR,1,PR,,0,
2900355,Adustina,BA,1,BA,,0,
2600104,Afogados Ingazeira,PE,1,PE,,0,
2400307,Afonso Bezerra,RN,1,RN,,0,
3200102,Afonso Claudio,ES,1,ES,,0,
2100105,Afonso Cunha,MA,1,MA,,0,
2600203,Afranio,PE,1,PE,,0,
1500305,Afua,PA,1,PA,,0,
2600302,Agrestina,PE,1,PE,,0,
2200103,Agricolandia,PI,1,PI,,0,
4200200,Agrolandia,SC,1,SC,,0,
4200309,Agronomica,SC,1,SC,,0,
1500347,Agua Azul do Norte,PA,1,PA,,0,
3100609,Agua Boa,MG,1,MG,,0,
5100201,Agua Boa,MT,1,MT,,0,
2200202,Agua Branca,PI,1,PI,,0,
2500106,Agua Branca,PB,1,PB,,0,
2700102,Agua Branca,AL,1,AL,,0,
5000203,Agua Clara,MS,1,MS,,0,
3100708,Agua Comprida,MG,1,MG,,0,
4200408,Agua Doce,SC,1,SC,,0,
3200169,Agua Doce do Norte,ES,1,ES,,0,
2900405,Agua Fria,BA,1,BA,,0,
5200175,Agua Fria de Goias,GO,1,GO,,0,
5200209,Agua Limpa,GO,1,GO,,0,
2400406,Agua Nova,RN,1,RN,,0,
2600401,Agua Preta,PE,1,PE,,0,
4300059,Agua Santa,RS,1,RS,,0,
3500303,Aguai,SP,1,SP,,0,
3100807,Aguanil,MG,1,MG,,0,
2600500,Aguas Belas,PE,1,PE,,0,
3500402,Aguas da Prata,SP,1,SP,,0,
4200507,Aguas de Chapeco,SC,1,SC,,0,
3500501,Aguas de Lindëia,SP,1,SP,,0,
3500600,Aguas de Sao Pedro,SP,1,SP,,0,
3500550,Aguas de Sta.Barbara,SP,1,SP,,0,
3100906,Aguas Formosas,MG,1,MG,,0,
4200556,Aguas Frias,SC,1,SC,,0,
4200606,Aguas Mornas,SC,1,SC,,0,
3101003,Aguas Vermelhas,MG,1,MG,,0,
4300109,Agudo,RS,1,RS,,0,
3500709,Agudos,SP,1,SP,,0,
4100301,Agudos do Sul,PR,1,PR,,0,
3200136,Aguia Branca,ES,1,ES,,0,
2500205,Aguiar,PB,1,PB,,0,
3101102,Aimores,MG,1,MG,,0,
2900603,Aiquara,BA,1,BA,,0,
2300408,Aiuaba,CE,1,CE,,0,
3101201,Aiuruoca,MG,1,MG,,0,
4300208,Ajuricaba,RS,1,RS,,0,
3101300,Alagoa,MG,1,MG,,0,
2500304,Alagoa Grande,PB,1,PB,,0,
2500403,Alagoa Nova,PB,1,PB,,0,
2500502,Alagoinha,PB,1,PB,,0,
2600609,Alagoinha,PE,1,PE,,0,
2200251,Alagoinha do Piaui,PI,1,PI,,0,
2900702,Alagoinhas,BA,1,BA,,0,
3500758,Alambari,SP,1,SP,,0,
3101409,Albertina,MG,1,MG,,0,
2100204,Alcantara,MA,1,MA,,0,
2300507,Alcantaras,CE,1,CE,,0,
5000252,Alcinopolis,MS,1,MS,,0,
2900801,Alcobaca,BA,1,BA,,0,
2100303,Aldeias Altas,MA,1,MA,,0,
4300307,Alecrim,RS,1,RS,,0,
3200201,Alegre,ES,1,ES,,0,
4300406,Alegrete,RS,1,RS,,0,
2200277,Alegrete do Piaui,PI,1,PI,,0,
4300455,Alegria,RS,1,RS,,0,
3101508,Alem Paraiba,MG,1,MG,,0,
1500404,Alenquer,PA,1,PA,,0,
2400505,Alexandria,RN,1,RN,,0,
5200308,Alexania,GO,1,GO,,0,
3101607,Alfenas,MG,1,MG,,0,
3200300,Alfredo Chaves,ES,1,ES,,0,
3500808,Alfredo Marcondes,SP,1,SP,,0,
3101631,Alfredo Vasconcelos,MG,1,MG,,0,
4200705,Alfredo Wagner,SC,1,SC,,0,
2500601,Alhandra,PB,1,PB,,0,
2600708,Alianca,PE,1,PE,,0,
1700350,Alianca do Tocantins,TO,1,TO,,0,
2900900,Almadina,BA,1,BA,,0,
1700400,Almas,TO,1,TO,,0,
1500503,Almeirim,PA,1,PA,,0,
3101706,Almenara,MG,1,MG,,0,
2400604,Almino Afonso,RN,1,RN,,0,
4100400,Almirante Tamandare,PR,1,PR,,0,
5200506,Aloandia,GO,1,GO,,0,
3101805,Alpercata,MG,1,MG,,0,
4300505,Alpestre,RS,1,RS,,0,
3101904,Alpinopolis,MG,1,MG,,0,
5100250,Alta Floresta,MT,1,MT,,0,
1100015,Alta Floresta DOeste,RO,1,RO,,0,
3500907,Altair,SP,1,SP,,0,
1500602,Altamira,PA,1,PA,,0,
2100402,Altamira do Maranhao,MA,1,MA,,0,
4100459,Altamira do Parana,PR,1,PR,,0,
2300606,Altaneira,CE,1,CE,,0,
3102001,Alterosa,MG,1,MG,,0,
2600807,Altinho,PE,1,PE,,0,
3501004,Altinopolis,SP,1,SP,,0,
1400050,Alto Alegre,RR,1,RR,,0,
3501103,Alto Alegre,SP,1,SP,,0,
4300554,Alto Alegre,RS,1,RS,,0,
1100379,Alto Alegre Parecis,RO,1,RO,,0,
5100300,Alto Araguaia,MT,1,MT,,0,
4200754,ALTO BELA VISTA,SC,1,SC,,0,
5100359,Alto Boa Vista,MT,1,MT,,0,
2400703,Alto do Rodrigues,RN,1,RN,,0,
4300570,Alto Feliz,RS,1,RS,,0,
5100409,Alto Garcas,MT,1,MT,,0,
5200555,Alto Horizonte,GO,1,GO,,0,
3153509,Alto Jequitiba,MG,1,MG,,0,
2200301,Alto Longa,PI,1,PI,,0,
5100508,Alto Paraguai,MT,1,MT,,0,
1100403,Alto Paraiso,RO,1,RO,,0,
5200605,Alto Paraiso Goias,GO,1,GO,,0,
4100608,Alto Parana,PR,1,PR,,0,
2100501,Alto Parnaiba,MA,1,MA,,0,
4100707,Alto Piquiri,PR,1,PR,,0,
3102100,Alto Rio Doce,MG,1,MG,,0,
3200359,Alto Rio Novo,ES,1,ES,,0,
2300705,Alto Santo,CE,1,CE,,0,
5100607,Alto Taquari,MT,1,MT,,0,
4100509,Altonia,PR,1,PR,,0,
2200400,Altos,PI,1,PI,,0,
3501152,Aluminio,SP,1,SP,,0,
1300029,Alvaraes,AM,1,AM,,0,
3102209,Alvarenga,MG,1,MG,,0,
3501202,Alvares Florence,SP,1,SP,,0,
3501301,Alvares Machado,SP,1,SP,,0,
3501400,Alvaro de Carvalho,SP,1,SP,,0,
3501509,Alvinlandia,SP,1,SP,,0,
3102308,Alvinopolis,MG,1,MG,,0,
1700707,Alvorada,TO,1,TO,,0,
4300604,Alvorada,RS,1,RS,,0,
3102407,Alvorada de Minas,MG,1,MG,,0,
5200803,Alvorada do Norte,GO,1,GO,,0,
4100806,Alvorada do Sul,PR,1,PR,,0,
1100346,Alvorada D'Oeste,RO,1,RO,,0,
5000609,Amambai,MS,1,MS,,0,
1600105,Amapa,AP,1,AP,,0,
4100905,Amapora,PR,1,PR,,0,
2600906,Amaraji,PE,1,PE,,0,
4300638,Amaral Ferrador,RS,1,RS,,0,
2200509,Amarante,PI,1,PI,,0,
2100600,Amarante do Maranhao,MA,1,MA,,0,
2901007,Amargosa,BA,1,BA,,0,
